status_account,month_duration,credit_history,status_savings,years_employment,payment_to_income_ratio,residence_since,age,other_installment_plans,housing,n_credits,job,n_guarantors,telephone,is_foreign_worker,target,sex,marital_status,age_group,loan_burden,risk_combo,financial_health,employment_stability,has_collateral,credit_amount_log,loan_to_income_proxy,purpose_risk,total_credit_exposure
negative,6,critical_other,unknown,Expert,4,4,67,none,own,2,skilled,1,yes,yes,1,male,single,adults,194.83333333333334,5,1.0,2.4000000000000004,0,7.064759027791802,779.3333333333334,low_risk,8
low_balance,48,current_paid,very_low,Mid-Level,2,2,22,none,own,1,skilled,1,no,yes,0,female,divorced/separated/married,young,123.97916666666667,5,2.0,2.4000000000000004,0,8.691482576512929,247.95833333333334,low_risk,2
no_checking,12,critical_other,very_low,Senior,2,3,49,none,own,1,unskilled,2,no,yes,1,male,single,adults,174.66666666666666,2,2.6,1.6,0,7.64826303090192,349.3333333333333,high_risk,2
negative,42,current_paid,very_low,Senior,2,4,45,none,for free,1,skilled,2,no,yes,1,male,single,adults,187.66666666666666,6,1.4,2.4000000000000004,1,8.972463821059907,375.3333333333333,medium_risk,2
negative,24,delayed_past,very_low,Mid-Level,3,4,53,none,for free,2,skilled,2,no,yes,0,male,single,adults,202.91666666666666,6,1.4,2.4000000000000004,1,8.491054533806542,608.75,medium_risk,6
no_checking,36,current_paid,unknown,Mid-Level,2,4,35,none,for free,1,unskilled,2,yes,yes,1,male,single,adults,251.52777777777777,3,2.2,1.6,1,9.111182800442965,503.05555555555554,high_risk,2
no_checking,24,current_paid,medium,Expert,3,4,53,none,own,1,skilled,1,no,yes,1,male,single,adults,118.125,3,3.4,2.4000000000000004,1,7.950149887652018,354.375,medium_risk,3
low_balance,36,current_paid,very_low,Mid-Level,2,2,35,none,rent,1,management,1,yes,yes,1,male,single,adults,193.0,5,2.0,2.8,1,8.846353043314327,386.0,low_risk,2
no_checking,12,current_paid,high,Senior,2,4,61,none,own,1,unskilled,1,no,yes,1,male,divorced/separated,adults,254.91666666666666,3,3.8,1.6,0,8.026170194946426,509.8333333333333,low_risk,2
low_balance,30,critical_other,very_low,unemployed,4,2,28,none,own,2,management,1,no,yes,0,male,married/widowed,mid_young,174.46666666666667,4,2.0,2.8,1,8.563122123304638,697.8666666666667,medium_risk,8
