status_account,month_duration,status_savings,years_employment,payment_to_income_ratio,residence_since,age,n_credits,n_guarantors,telephone,is_foreign_worker,age_group,loan_burden,risk_combo,financial_health,employment_stability,has_collateral,credit_amount_log,loan_to_income_proxy,total_credit_exposure,sex_female,sex_male,credit_history_all_paid_here,credit_history_critical_other,credit_history_current_paid,credit_history_delayed_past,credit_history_no_credits,other_installment_plans_bank,other_installment_plans_none,other_installment_plans_stores,housing_for free,housing_own,housing_rent,job_management,job_skilled,job_unemployed,job_unskilled,marital_status_divorced/separated,marital_status_divorced/separated/married,marital_status_married/widowed,marital_status_single,purpose_risk_high_risk,purpose_risk_low_risk,purpose_risk_medium_risk,target
0.0,-0.24835433256387934,1.0,2.0,2.0,2.0,24.0,-0.6951322010424811,1.0,,1.0,0.0,177.22222222222223,6.0,1.4,2.4000000000000004,0.0,8.068089626278244,-0.26613293355948836,-0.8888453392829397,1.5459076649252297,-1.5459076649252297,0.0,-0.6236095644623236,0.932286907826487,0.0,-0.18689261259251502,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0.0,-0.24835433256387934,2.0,2.0,3.0,4.0,35.0,-0.6951322010424811,2.0,1.0,1.0,2.0,243.33333333333331,6.0,1.8,1.6,1.0,8.385032287813898,1.0997921787514526,-0.47518840418907593,-0.646869164755947,0.6468691647559474,0.0,-0.6236095644623236,0.932286907826487,0.0,-0.18689261259251502,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
0.0,0.2390131229989254,2.0,3.0,2.0,3.0,32.0,-0.6951322010424811,1.0,,1.0,1.0,96.875,8.0,1.8,2.4000000000000004,1.0,7.75190533307861,-0.8505912748848429,-0.8888453392829397,-0.646869164755947,0.6468691647559474,1.0,-0.6236095644623236,-1.0726311735207972,0.0,-0.18689261259251502,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
3.0,-0.7357217881266841,1.0,2.0,3.0,4.0,23.0,-0.6951322010424811,1.0,,1.0,0.0,108.08333333333331,4.0,3.2,2.4000000000000004,0.0,7.168579897264035,-0.3759525043495766,-0.47518840418907593,-0.646869164755947,0.6468691647559474,0.0,-0.6236095644623236,0.932286907826487,0.0,-0.18689261259251502,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
2.0,0.9700643063431326,1.0,3.0,3.0,2.0,35.0,1.05362805315244,1.0,1.0,1.0,2.0,219.7878787878788,2.0,2.6,2.8,1.0,8.889308319842847,0.8428821650238999,0.7657824010925155,-0.646869164755947,0.6468691647559474,0.0,1.6035674514745464,-1.0726311735207972,0.0,-0.18689261259251502,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1
0.0,0.2390131229989254,1.0,4.0,4.0,4.0,64.0,-0.6951322010424811,1.0,,1.0,2.0,99.33333333333331,6.0,1.4,1.6,0.0,7.776954403322442,-0.11014266925415615,-0.06153146909521212,-0.646869164755947,0.6468691647559474,0.0,-0.6236095644623236,0.932286907826487,0.0,-0.18689261259251502,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1
3.0,-1.223089243689489,1.0,2.0,2.0,2.0,41.0,-0.6951322010424811,1.0,1.0,1.0,2.0,352.6666666666667,4.0,3.2,2.4000000000000004,0.0,7.6577552711348655,1.010077570783101,-0.8888453392829397,-0.646869164755947,0.6468691647559474,0.0,-0.6236095644623236,0.932286907826487,0.0,-0.18689261259251502,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
1.0,-0.7357217881266841,1.0,2.0,4.0,4.0,20.0,1.05362805315244,1.0,,1.0,0.0,48.75,5.0,2.0,2.4000000000000004,0.0,6.373319789577012,-0.8460449265080684,1.593096271280243,-0.646869164755947,0.6468691647559474,0.0,-0.6236095644623236,-1.0726311735207972,1.0,-0.18689261259251502,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
2.0,-0.9794055159080864,2.0,2.0,1.0,2.0,26.0,-0.6951322010424811,2.0,,0.0,1.0,397.44444444444446,3.0,3.0,2.4000000000000004,0.0,8.182559264068665,-0.10973854939844274,-1.3025022743768035,-0.646869164755947,0.6468691647559474,0.0,-0.6236095644623236,0.932286907826487,0.0,-0.18689261259251502,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
2.0,0.4826968507803278,4.0,2.0,2.0,2.0,27.0,1.05362805315244,1.0,,1.0,1.0,319.0,3.0,3.8,2.4000000000000004,1.0,9.061144065614055,0.7651809382208433,-0.06153146909521212,-0.646869164755947,0.6468691647559474,0.0,-0.6236095644623236,-1.0726311735207972,1.0,-0.18689261259251502,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1
